Network,Depth,Parameters (M),MAE,RMSE,Inference time per image (s)
AlexNet [19],8,56.80,0.11,0.16,2.19
Inception-v3 [21],48,21.80,0.08,0.15,3.34
ResNet-50 [23],50,25.60,0.07,0.14,2.77
VGG-16 [22],16,138.00,0.16,0.20,4.29
DenseNet [20],201,20.00,0.12,0.14,4.52
SqueezeNet [24],18,3.20,0.25,0.29,2.07
MobileNetV2 [25],53,3.50,0.14,0.18,2.47
NASNet-Mobile [26],*,5.30,0.12,0.16,3.10
EfficientNet-b0 [26],82,5.30,0.12,0.16,3.36
XceptionNet [27],71,22.90,0.08,0.13,2.80
GISR-Net,22,5.90,0.06,0.10,2.24
